Skill,Frequency
"microservices, aws, c, ansible, routing, ci/cd, sql, docker",416
"rest apis, javascript, nlp, pandas, ansible, switching, spark, aws, docker, sql",348
"flask, computer vision, routing, sql, aws",338
"microservices, aws, c, ansible, routing, ci/cd",316
"linux, 5g, routing, python, gcp, computer vision, aws, docker",243
"rest apis, git, tcp/ip, terraform, python, aws, docker, sql",213
"pandas, elasticsearch, react, node.js, numpy, microservices, aws",192
"microservices, aws, c, ansible, routing, ci/cd, node.js, kubernetes",183
"routing, docker, pytorch, ansible, azure, python, node.js",157
"routing, docker, pytorch, ansible, azure, kubernetes, aws, python",155
"microservices, aws, c, ansible, routing, ci/cd, node.js, sql",151
"microservices, aws, c, ansible, routing, ci/cd, kubernetes, python, tensorflow",137
"linux, 5g, routing, python, gcp, computer vision, tensorflow, sql, react",136
"rest apis, git, tcp/ip, terraform, python, node.js",125
"switching, docker, azure, pandas, aws, spark, python, tensorflow",114
"linux, 5g, routing, python, gcp, computer vision, sql",114
"rest apis, git, tcp/ip, terraform, python, docker",112
"flask, hadoop, tensorflow, git, react",107
"rest apis, javascript, nlp, pandas, ansible, switching, spark, tensorflow, python",101
"switching, docker, azure, pandas, aws, spark, python",98
"microservices, javascript, flask, ansible, pytorch, routing, kubernetes, python, aws",98
"rest apis, javascript, nlp, pandas, ansible, switching, spark, node.js",96
"flask, computer vision, routing, sql",86
"linux, 5g, routing, python, gcp, computer vision",85
"flask, computer vision, routing, aws, node.js",84
"switching, azure, routing, pytorch, ansible, aws, spark, python, docker, sql",82
"tensorflow, pandas, pytorch, react, ansible, docker, sql",78
"linux, 5g, routing, python, gcp, computer vision, tensorflow",73
"git, rest apis, java, node.js, sql, python",72
"azure, nosql, hipaa, react, node.js, aws, docker",72
"pandas, hadoop, nosql, rest apis, hipaa, sql, terraform, node.js, kubernetes, docker",68
"computer vision, java, firewalls, routing, nosql, kubernetes, 5g, node.js, aws, react",67
"microservices, javascript, flask, ansible, pytorch, routing",66
"rest apis, react, javascript, pytorch, terraform, routing, aws, docker",66
"tcp/ip, computer vision, aws, kubernetes, node.js, docker",64
"tcp/ip, rest apis, docker, flask, node.js, aws, kubernetes",61
"docker, terraform, spark, aws, elasticsearch, linux, python, sql",56
"switching, docker, azure, pandas, aws, spark, node.js",51
"docker, firewalls, hipaa, aws, node.js",51
"routing, docker, pytorch, ansible, azure, sql, aws, kubernetes",48
"switching, docker, azure, pandas, aws, spark",48
"switching, pandas, numpy, flask, nlp, ansible, ci/cd, node.js, sql",48
"pandas, hadoop, nosql, rest apis, hipaa, sql, terraform, node.js, aws",47
"tcp/ip, rest apis, docker, flask, aws, node.js",46
"git, rest apis, java, sql, aws, node.js",45
"rest apis, react, javascript, pytorch, terraform, routing, node.js, python, tensorflow",44
"tensorflow, pandas, pytorch, react, ansible, python",44
"pandas, elasticsearch, react, node.js, numpy, microservices, python",43
"computer vision, java, firewalls, routing, nosql, kubernetes, 5g, python, aws, node.js",41
"git, firewalls, azure, ci/cd, pytorch, pandas, react, python, sql",41
